"Step","phase1-reasoning - tech/step","phase1-reasoning - tech/step__MIN","phase1-reasoning - tech/step__MAX"
"0","7","7","7"
"1","15","15","15"
"2","23","23","23"
"3","31","31","31"
"4","39","39","39"
"5","47","47","47"
"6","55","55","55"
"7","63","63","63"
"8","71","71","71"
"9","79","79","79"
"10","87","87","87"
"11","95","95","95"
"12","103","103","103"
"13","111","111","111"
"14","119","119","119"
"15","127","127","127"
"16","135","135","135"
"17","143","143","143"
"18","151","151","151"
"19","159","159","159"
"20","167","167","167"
"21","175","175","175"
"22","183","183","183"
"23","191","191","191"
"24","199","199","199"
"26","207","207","207"
"27","215","215","215"
"28","223","223","223"
"29","231","231","231"
"30","239","239","239"
"31","247","247","247"
"32","255","255","255"
"33","263","263","263"
"34","271","271","271"
"35","279","279","279"
"36","287","287","287"
"37","295","295","295"
"38","303","303","303"
"39","311","311","311"
"40","319","319","319"
"41","327","327","327"
"42","335","335","335"
"43","343","343","343"
"44","351","351","351"
"45","359","359","359"
"46","367","367","367"
"47","375","375","375"
"48","383","383","383"
"49","391","391","391"
"50","399","399","399"
"52","407","407","407"
"53","415","415","415"
"54","423","423","423"
"55","431","431","431"
"56","439","439","439"
"57","447","447","447"
"58","455","455","455"
"59","463","463","463"
"60","471","471","471"
"61","479","479","479"
"62","487","487","487"
"63","495","495","495"
"64","503","503","503"
"65","511","511","511"
"66","519","519","519"
"67","527","527","527"
"68","535","535","535"
"69","543","543","543"
"70","551","551","551"
"71","559","559","559"
"72","567","567","567"
"73","575","575","575"
"74","583","583","583"
"75","591","591","591"
"76","599","599","599"
"78","607","607","607"
"79","615","615","615"
"80","623","623","623"
"81","631","631","631"
"82","639","639","639"
"83","647","647","647"
"84","655","655","655"
"85","663","663","663"
"86","671","671","671"
"87","679","679","679"
"88","687","687","687"
"89","695","695","695"
"90","703","703","703"
"91","711","711","711"
"92","719","719","719"
"93","727","727","727"
"94","735","735","735"
"95","743","743","743"
"96","751","751","751"
"97","759","759","759"
"98","767","767","767"
"99","775","775","775"
"100","783","783","783"
"101","791","791","791"
"102","799","799","799"
"104","807","807","807"
"105","815","815","815"
"106","823","823","823"
"107","831","831","831"
"108","839","839","839"
"109","847","847","847"
"110","855","855","855"
"111","863","863","863"
"112","871","871","871"
"113","879","879","879"
"114","887","887","887"
"115","895","895","895"
"116","903","903","903"
"117","911","911","911"
"118","919","919","919"
"119","927","927","927"
"120","935","935","935"
"121","943","943","943"
"122","951","951","951"
"123","959","959","959"
"124","967","967","967"
"125","975","975","975"
"126","983","983","983"
"127","991","991","991"
"128","999","999","999"
"130","1007","1007","1007"
"131","1015","1015","1015"
"132","1023","1023","1023"
"133","1031","1031","1031"
"134","1039","1039","1039"
"135","1047","1047","1047"
"136","1055","1055","1055"
"137","1063","1063","1063"
"138","1071","1071","1071"
"139","1079","1079","1079"
"140","1087","1087","1087"
"141","1095","1095","1095"
"142","1103","1103","1103"
"143","1111","1111","1111"
"144","1119","1119","1119"
"145","1127","1127","1127"
"146","1135","1135","1135"
"147","1143","1143","1143"
"148","1151","1151","1151"
"149","1159","1159","1159"
"150","1167","1167","1167"
"151","1175","1175","1175"
"152","1183","1183","1183"
"153","1191","1191","1191"
"154","1199","1199","1199"
"156","1207","1207","1207"
"157","1215","1215","1215"
"158","1223","1223","1223"
"159","1231","1231","1231"
"160","1239","1239","1239"
"161","1247","1247","1247"
"162","1255","1255","1255"
"163","1263","1263","1263"
"164","1271","1271","1271"
"165","1279","1279","1279"
"166","1287","1287","1287"
"167","1295","1295","1295"
"168","1303","1303","1303"
"169","1311","1311","1311"
"170","1319","1319","1319"
"171","1327","1327","1327"
"172","1335","1335","1335"
"173","1343","1343","1343"
"174","1351","1351","1351"
"175","1359","1359","1359"
"176","1367","1367","1367"
"177","1375","1375","1375"
"178","1383","1383","1383"
"179","1391","1391","1391"
"180","1399","1399","1399"
"182","1407","1407","1407"
"183","1415","1415","1415"
"184","1423","1423","1423"
"185","1431","1431","1431"
"186","1439","1439","1439"
"187","1447","1447","1447"
"188","1455","1455","1455"
"189","1463","1463","1463"
"190","1471","1471","1471"
"191","1479","1479","1479"
"192","1487","1487","1487"
"193","1495","1495","1495"
"194","1503","1503","1503"
"195","1511","1511","1511"
"196","1519","1519","1519"
"197","1527","1527","1527"
"198","1535","1535","1535"
"199","1543","1543","1543"
"200","1551","1551","1551"
"201","1559","1559","1559"
"202","1567","1567","1567"
"203","1575","1575","1575"
"204","1583","1583","1583"
"205","1591","1591","1591"
"206","1599","1599","1599"
"208","1607","1607","1607"
"209","1615","1615","1615"
"210","1623","1623","1623"
"211","1631","1631","1631"
"212","1639","1639","1639"
"213","1647","1647","1647"
"214","1655","1655","1655"
"215","1663","1663","1663"
"216","1671","1671","1671"
"217","1679","1679","1679"
"218","1687","1687","1687"
"219","1695","1695","1695"
"220","1703","1703","1703"
"221","1711","1711","1711"
"222","1719","1719","1719"
"223","1727","1727","1727"
"224","1735","1735","1735"
"225","1743","1743","1743"
"226","1751","1751","1751"
"227","1759","1759","1759"
"228","1767","1767","1767"
"229","1775","1775","1775"
"230","1783","1783","1783"
"231","1791","1791","1791"
"232","1799","1799","1799"
